序号,文件,相关度,相关度分值,职位,招聘主体,薪资,学历,招聘人数,专业,地区,更新时间,所属行业,公司性质,公司规模,技术关键词,同模板条数,JD指纹,详情页
354,354-新媒体AI应用方向实习生-江苏常居房地产营销策划有限公司.md,较相关,2,新媒体/AI应用方向实习生,江苏常居房地产营销策划有限公司,3k-5k,专科及以上,招聘 2人,数字媒体技术,江苏省常州市,07-28 08:48,房地产/建筑/建材/工程,民营企业,1000-4999人,,1,4f854e012995,https://www.ncss.cn/student/jobs/TKiWJ7oDmn5HGQ7gH62CRB/detail.html
355,355-产品运营实习生-宠爱（天津）网络信息技术有限责任公司.md,较相关,2,产品运营实习生,宠爱（天津）网络信息技术有限责任公司,0.5k-2k,本科及以上,招聘 58人,市场营销，互联网,全国,07-28 11:23,互联网/电子商务,民营企业,1-49人,,1,887c928a0790,https://www.ncss.cn/student/jobs/3xuSdbnrmiN5MxkUqxVXWg/detail.html
356,356-新媒体运营助理-零一时代（天津）科技有限公司.md,较相关,2,新媒体运营助理,零一时代（天津）科技有限公司,3k-4k,专科及以上,招聘 3人,专业不限,天津市河东区,07-29 11:35,教育/培训/院校,民营企业,1-49人,,1,eed8295507e4,https://www.ncss.cn/student/jobs/4wBwNTovQuBsKGAdnmEv3N/detail.html
357,357-市场营销职员-北安市华骏供应链有限责任公司.md,较相关,2,市场营销职员,北安市华骏供应链有限责任公司,3k-5k,本科及以上,招聘 1人,市场营销,黑龙江省北安市,06-23 10:29,市场推广/运营,其他,1-49人,,1,47e420810fd3,https://www.ncss.cn/student/jobs/EqtdwGwHxebaFZCjNWTLPd/detail.html
358,358-市场营销-贵州韩健金方苗药有限公司.md,较相关,2,市场营销,贵州韩健金方苗药有限公司,4k-8k,本科及以上,招聘 50人,专业不限,贵州省贵阳市,08-04 09:41,制药/生物工程,民营企业,100-499人,,1,891da5e46df4,https://www.ncss.cn/student/jobs/MgjtommTJZReC4uj7aWGdg/detail.html
359,359-销售实习生-中国大地财产保险股份有限公司东莞分公司第五营销服务部.md,较相关,1,销售实习生,中国大地财产保险股份有限公司东莞分公司第五营销服务部,5k-10k,专科及以上,招聘 8人,专业不限,广东省东莞市,08-04 09:39,保险,股份制企业,50-99人,,1,961e1c1e8566,https://www.ncss.cn/student/jobs/ANB1wrE4dgyUyrb6iPekjG/detail.html
360,360-商务专员-北京城铁科技集团有限公司.md,较相关,1,商务专员,北京城铁科技集团有限公司,5k-6k,本科及以上,招聘 1人,工程造价,北京市丰台区,07-13 14:46,综合领域经营,民营企业,500-999人,,1,94ec4923cc1d,https://www.ncss.cn/student/jobs/DL5xzVKwFmk9FBngN2bxhK/detail.html
361,361-会展项目助理-北京埃弗森营销策划有限公司.md,较相关,1,会展项目助理,北京埃弗森营销策划有限公司,5k-7k,本科及以上,招聘 2人,专业不限,重庆市江北区,06-23 16:05,广告/公关/会展,民营企业,1-49人,,1,c397d6ede404,https://www.ncss.cn/student/jobs/LFJbwAirasGstDS3D15q8r/detail.html
362,362-跨境电商运营-天津港保税区伊润国际贸易有限公司.md,较相关,1,跨境电商运营,天津港保税区伊润国际贸易有限公司,5k-8k,专科及以上,招聘 1人,专业不限,天津市河西区,07-28 10:45,贸易/进出口,民营企业,100-499人,,1,f8565dbeaf47,https://www.ncss.cn/student/jobs/4TWhgph384H6rvJKYzSctg/detail.html
363,363-谈单销售-郑州友之家房地产营销策划有限公司.md,较相关,1,谈单销售,郑州友之家房地产营销策划有限公司,6k-9k,不限,招聘 15人,专业不限,河南省郑州市,07-27 10:35,中介服务,民营企业,1-49人,,1,6f503b78821c,https://www.ncss.cn/student/jobs/LNAxLTkD1MZHjg7tvqeXhz/detail.html
364,364-国际商务专员-上海名佳利金属有限公司.md,较相关,1,国际商务专员,上海名佳利金属有限公司,8k-15k,本科及以上,招聘 1人,国际贸易 国际经济与贸易 工程机械 仪器仪表 能源动力 海洋工程 轻工纺织 航空航天 农业工程 林业工程 机械设计制造,上海市浦东新区,07-14 16:21,原材料及加工（金属/木材/橡胶/塑料/玻璃/陶瓷/建材）,港澳台公司,100-499人,,1,8b9151c503e4,https://www.ncss.cn/student/jobs/62htuYtebmfL9uEqsppsm6/detail.html
365,365-国内电商运营专员-厦门游旭网络科技有限公司.md,较相关,1,国内电商运营专员,厦门游旭网络科技有限公司,5k-15k,专科及以上,招聘 5人,不限，（电子商务优先）,福建省厦门市,07-31 18:10,互联网/电子商务,民营企业,1-49人,,1,20024b98cdc9,https://www.ncss.cn/student/jobs/xXnXREFxNnELQh9o8zG1h/detail.html
366,366-诚聘国企电话车险专员[全职]-中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部.md,较相关,1,诚聘国企电话车险专员[全职],中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部,0.8k-1.6k,本科及以上,招聘 5人,国际经济与贸易 市场营销 财政学 法学 对外汉语 播音与主持艺术 戏剧影视美术设计 应用物理学 天文学 应用气象学 海洋科学 电子信息科学与技术 光信息科学与技术 环境科学 应用心理学 高分子材料与工程 热能与动力工程 电子信息工程 通信工程 生物医学与工程 城市规划 环境工程 制药工程 食品科学与工程 轻化工程 服装设计与工程 生物工程 农业电气化与自动化 园艺 水产 汽车 金融 财产,全国,08-04 09:19,投资/基金/证券/期货,国有企业,5000以上,,1,bd654d937afa,https://www.ncss.cn/student/jobs/BGaSvqYuA2BwMRaBfQQSdz/detail.html
367,367-国企营销实习生-中国大地财产保险股份有限公司揭阳中心支公司.md,较相关,1,国企营销实习生,中国大地财产保险股份有限公司揭阳中心支公司,4k-8k,专科及以上,招聘 6人,工商企业管理 电子商务 市场销售 市场营销,广东省东莞市,07-29 10:59,保险,国有企业,100-499人,,1,5205928b1b81,https://www.ncss.cn/student/jobs/Fa6HaDpbEk2a1EywTcEg1j/detail.html
368,368-进出口运营专员-天津天宝供应链管理有限公司.md,较相关,1,进出口运营专员,天津天宝供应链管理有限公司,4k-7k,专科及以上,招聘 2人,物流管理 国际贸易 报关 英语 西班牙 俄语 阿拉伯语,天津市滨海新区,07-14 11:05,贸易/进出口,民营企业,1-49人,,1,6e2f73fa3774,https://www.ncss.cn/student/jobs/6jMNZiYh2bhoyFduswSPuc/detail.html
369,369-商务专员-广东大掌柜财税管理有限公司.md,较相关,1,商务专员,广东大掌柜财税管理有限公司,3k-10k,专科及以上,招聘 15人,电子商务，会计，财务管理，市场营销,广东省广州市,07-30 10:22,财会/审计,民营企业,50-99人,,1,9b57b0d66722,https://www.ncss.cn/student/jobs/PVkREPKnFMA2fLYQYMqnMo/detail.html
370,370-跨境电商运营专员客服-厦门游旭网络科技有限公司.md,较相关,1,跨境电商运营专员/客服,厦门游旭网络科技有限公司,6k-12k,专科及以上,招聘 5人,应用英语 商务英语,福建省厦门市湖里区,07-31 18:10,互联网/电子商务,民营企业,1-49人,,1,ced008da5bbe,https://www.ncss.cn/student/jobs/VYkQR7uD7aG2ewF4PzTC7c/detail.html
371,371-TOB大客户销售（六险一金、节假日全休）-中霆正非融资性担保河北有限公司.md,较相关,1,TO B大客户销售（六险一金、节假日全休）,中霆正非融资性担保河北有限公司,5k-10k,专科及以上,招聘 5人,营销 经管 金融 工程 建筑 不限,河北省石家庄市新华区,06-29 17:12,信托/担保/拍卖/典当,民营企业,1-49人,,1,852a9a930fab,https://www.ncss.cn/student/jobs/2tFscGD15wykKYczRwPE8A/detail.html
372,372-有经验热爱招聘工作的招聘专员2名-江苏常居房地产营销策划有限公司.md,较相关,1,有经验热爱招聘工作的招聘专员2名,江苏常居房地产营销策划有限公司,4k-8k,专科及以上,招聘 2人,心理学 管理学 工商 营销 人资,江苏省常州市,08-04 08:36,房地产/建筑/建材/工程,民营企业,1000-4999人,,1,f2f851ffbc96,https://www.ncss.cn/student/jobs/Tu72rjhdneavK2GgX5mmKf/detail.html
373,373-续保实习生（公司提供资源，包吃住，可返乡）-中国大地财产保险股份有限公司东莞分公司第五营销服务部.md,较相关,1,续保实习生（公司提供资源，包吃住，可返乡）,中国大地财产保险股份有限公司东莞分公司第五营销服务部,4k-8k,专科及以上,招聘 15人,专业不限,广东省东莞市,08-04 09:14,保险,股份制企业,50-99人,,1,78d3a2bfd91e,https://www.ncss.cn/student/jobs/EGBHUhcyAGrNvTojYynss9/detail.html
374,374-招聘运营专员(实习生)-青岛科能智聘人力资源管理有限公司.md,较相关,1,招聘运营专员(实习生),青岛科能智聘人力资源管理有限公司,3k-4k,本科及以上,招聘 5人,专业不限,山东省青岛市,07-31 15:46,专业服务（财会/法律/翻译/人力资源等）,民营企业,50-99人,,1,e351d775eb53,https://www.ncss.cn/student/jobs/Kup4pMcejLL8d87MWggCt3/detail.html
375,375-数据分析标注-长沙学励教育咨询有限公司.md,较相关,1,数据分析标注,长沙学励教育咨询有限公司,5k-12k,不限,招聘 10人,专业不限,全国,07-14 12:08,教育/培训/院校,民营企业,50-99人,,1,b6383289b944,https://www.ncss.cn/student/jobs/6hS2RPD5MsUrnLV8HUwu7c/detail.html
376,376-青春成长岗｜渠道专员（接受26届实习生综合6000+）-台州市椒江旦旦商贸有限公司.md,较相关,1,青春成长岗｜渠道专员 （接受 26 届实习生 综合 6000+）,台州市椒江旦旦商贸有限公司,6k-20k,专科及以上,招聘 5人,专业不限,四川省成都市,08-03 09:08,批发/零售,民营企业,100-499人,,1,a50cb2c71204,https://www.ncss.cn/student/jobs/QkzP1w2bocpHTvEJ2Bvq77/detail.html
377,377-市场专员销售专员-四川羽翼互动广告有限公司.md,较相关,1,市场专员/销售专员,四川羽翼互动广告有限公司,4k-7k,专科及以上,招聘 10人,新闻学 传播学 市场营销 文学 法学 计算机科学与技术 网络营销 工商管理 广播电视 营销,四川省成都市,07-27 14:37,互联网/电子商务,民营企业,100-499人,,1,290b208b26f7,https://www.ncss.cn/student/jobs/JoE5jdJWNQC54qpPzenEVm/detail.html
378,378-（数据分析方向）算法工程师（社招校招）-浙江云创蔚来科技集团有限公司.md,较相关,1,（数据分析方向）算法工程师（社招/校招）,浙江云创蔚来科技集团有限公司,12k-24k,硕士及以上,招聘 2人,专业不限,浙江省宁波市,06-23 09:21,互联网/电子商务,民营企业,500-999人,,1,7da1b36213e1,https://www.ncss.cn/student/jobs/LpekAkeeD98PSEbND9VL7/detail.html
379,379-跨境电商运营（TikTok+Shopify）-重庆欧悦聚优出国留学咨询服务有限公司.md,较相关,1,跨境电商运营（TikTok+Shopify）,重庆欧悦聚优出国留学咨询服务有限公司,4k-7k,不限,招聘 1人,专业不限,重庆市两江新区,07-20 16:14,教育/培训/院校,民营企业,1-49人,,1,ac2f6e159475,https://www.ncss.cn/student/jobs/Xm3JUAzDqRn2ZfUS153Hw2/detail.html
380,380-商务经理-河南腾之源实业集团有限公司.md,较相关,1,商务经理,河南腾之源实业集团有限公司,3k-5k,本科及以上,招聘 5人,营销类专业、计算机类专业、应用电子类专业、机电类专业、建筑类专业,河南省郑州市,08-01 15:44,计算机服务（系统/数据/维护/安全）,民营企业,1-49人,,1,14ed879d68b0,https://www.ncss.cn/student/jobs/HCcubxfhUrpcnwHYmNSjRk/detail.html
381,381-客服数据分析专员-中国平安财产保险股份有限公司上海分公司.md,较相关,1,客服数据分析专员,中国平安财产保险股份有限公司上海分公司,8k-15k,本科及以上,招聘 2人,经济管理 金融 国际贸易 保险 银行 证券 电子商务 人力资源 汉语言文学 计算机 机械,全国,08-03 10:00,保险,股份制企业,1000-4999人,,1,270ed140c37c,https://www.ncss.cn/student/jobs/41wZcB2u4XtaJUC65YAv7A/detail.html
382,382-大客户销售-沈阳瑞禾志诚生物科技有限公司.md,较相关,1,大客户销售,沈阳瑞禾志诚生物科技有限公司,10k-20k,本科及以上,招聘 2人,畜牧兽医相关专业,辽宁省沈阳市,07-31 10:14,农/林/牧/渔,民营企业,50-99人,,1,073d4958fc2c,https://www.ncss.cn/student/jobs/SV5kJrt3TxxrrhBuyoYXZc/detail.html
383,383-自媒体运营实习生-株洲腾跃房地产经纪有限责任公司.md,较相关,1,自媒体运营实习生,株洲腾跃房地产经纪有限责任公司,5k-9k,专科及以上,招聘 9人,专业不限,湖南省株洲市,07-27 14:23,房地产/建筑/建材/工程,股份制企业,100-499人,,1,25afaebf7f06,https://www.ncss.cn/student/jobs/VYEuVBNT2UrE44xcNVSx4Q/detail.html
384,384-培训专员-中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部.md,较相关,1,培训专员,中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部,10k-15k,本科及以上,招聘 1人,"经济学 财政学类, 教育学 文学 历史学 机械 医学 理学 军事学 农学 工学 逻辑学 电子技术类 政治学 管理学 保险学 数字经济学 互联网 审计 汉语言文学 贸易 市场营销 伦理学 不限专业",全国,08-04 09:19,投资/基金/证券/期货,国有企业,5000以上,,1,197abe198918,https://www.ncss.cn/student/jobs/3CyrcAaPWbkXA773oQTHcM/detail.html
385,385-客服专员-中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部.md,较相关,1,客服专员,中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部,8k-12k,专科及以上,招聘 5人,"经济学 财政学类, 教育学 文学 历史学 机械 医学 理学 军事学 农学 工学 逻辑学 电子技术类 政治学 管理学 保险学 数字经济学 互联网 审计 汉语言文学 贸易 市场营销 伦理学 不限专业",全国,08-04 09:19,投资/基金/证券/期货,国有企业,5000以上,,1,247a21d20ea0,https://www.ncss.cn/student/jobs/MfNNWKQz3cx7tx2hz8gSLC/detail.html
386,386-电商运营助理-义乌新渝网络科技有限责任公司.md,较相关,1,电商运营助理,义乌新渝网络科技有限责任公司,3k-3.5k,专科及以上,招聘 50人,电子商务 跨境电商 计算机专业 新媒体专业 英语专业,浙江省金华市,07-21 14:31,互联网/电子商务,民营企业,1-49人,,1,d694339fa223,https://www.ncss.cn/student/jobs/R6PZ387zGzk3PjCJNed11L/detail.html
387,387-医药电商电商运营-广州君安药房有限公司.md,较相关,1,医药电商 电商运营,广州君安药房有限公司,8k-20k,专科及以上,招聘 6人,专业不限,四川省成都市锦江区,08-03 10:05,制药/生物工程,民营企业,100-499人,,1,ac56aaff1610,https://www.ncss.cn/student/jobs/4CgbqR1wmeJPx5voG6PXp2/detail.html
388,388-门店运营助理-营口市鲅鱼圈区哈喽北鼻母婴用品店.md,较相关,1,门店运营助理,营口市鲅鱼圈区哈喽北鼻母婴用品店,4k-6k,专科及以上,招聘 3人,专业不限,辽宁省营口市市辖区,07-29 19:52,批发/零售,其他,100-499人,,1,025d7a29c346,https://www.ncss.cn/student/jobs/BHbhGYNoKjPeHh3EwoZMTe/detail.html
389,389-公关部经理-雄安蚕山科技有限公司.md,较相关,1,公关部经理,雄安蚕山科技有限公司,7k-8.5k,本科及以上,招聘 13人,"销售类，公关,秘书",河北省邯郸市邯山区,07-10 16:05,市场推广/运营,民营企业,100-499人,,1,9e59a6a10172,https://www.ncss.cn/student/jobs/fCFCboHM6UTFCazwS92uw/detail.html
390,390-客服数据分析专员-中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部.md,较相关,1,客服数据分析专员,中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部,10k-15k,本科及以上,招聘 2人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类,全国,08-04 09:19,投资/基金/证券/期货,国有企业,5000以上,,1,358432062fd4,https://www.ncss.cn/student/jobs/KD3hdGwP9qQtkzMiYzjyk8/detail.html
391,391-市场助理-江苏碧浪水科技有限公司.md,较相关,1,市场助理,江苏碧浪水科技有限公司,4.5k-6k,专科及以上,招聘 1人,土建施工类 工商管理类 机电类,江苏省无锡市,07-27 14:52,房地产/建筑/建材/工程,民营企业,50-99人,,1,1725b92bea2d,https://www.ncss.cn/student/jobs/CZKWH6qXEGy5dd53wcKocS/detail.html
392,392-物业运营助理-辽宁新途客运服务有限公司.md,较相关,1,物业运营助理,辽宁新途客运服务有限公司,4k-7k,专科及以上,招聘 4人,专业不限,辽宁省葫芦岛市市辖区,07-29 09:46,交通/运输,机关/事业单位/非营利机构,100-499人,,1,f61535f28042,https://www.ncss.cn/student/jobs/CP4mAwNgci7SAnhwRtzawV/detail.html
393,393-回访客服（包住，无营销）-信雅达（杭州）计算机服务有限公司.md,较相关,1,回访客服（包住，无营销）,信雅达（杭州）计算机服务有限公司,3.5k-4k,不限,招聘 50人,市场营销，会计，电子商务，专业不限,浙江省杭州市,08-04 09:28,计算机软件,民营企业,1000-4999人,,1,e324dd4e8527,https://www.ncss.cn/student/jobs/THTwR2TEBedjubJu6dPSdo/detail.html
394,394-市场专员-成都高新区博雅阳光艺术培训学校.md,较相关,1,市场专员,成都高新区博雅阳光艺术培训学校,4k-8k,专科及以上,招聘 8人,市场营销 企业管理 教育学 经济学等,四川省成都市,08-03 10:11,教育/培训/院校,民营企业,100-499人,,1,2e742df4eda2,https://www.ncss.cn/student/jobs/3bz94Y82kBNp6QNnBShaJD/detail.html
395,395-电商运营助理（全职）-天津乔蔓跨境电子商务有限公司.md,较相关,1,电商运营助理（全职）,天津乔蔓跨境电子商务有限公司,3k-5k,专科及以上,招聘 1人,专业不限,天津市河西区,07-24 10:48,互联网/电子商务,民营企业,1-49人,,1,46b4779d9d6a,https://www.ncss.cn/student/jobs/Xy4WekiSqKB6ubKRGpVrcr/detail.html
396,396-市场主管-致公教育信息咨询（淮安）有限公司.md,较相关,1,市场主管,致公教育信息咨询（淮安）有限公司,8k-15k,专科及以上,招聘 20人,市场营销 工商管理 金融学 汉语言文学 旅游管理,江苏省淮安市,08-03 10:22,教育/培训/院校,民营企业,50-99人,,1,94ea80270d5a,https://www.ncss.cn/student/jobs/6JSu3cTViu4QNDXuLTUWwE/detail.html
397,397-行政运营专员（实习生岗位）-江苏华丽智能科技股份有限公司.md,较相关,1,行政运营专员（实习生岗位）,江苏华丽智能科技股份有限公司,3k-5k,本科及以上,招聘 2人,机械设计及制造 理工 英语 人力资源管理,江苏省常州市武进区,06-16 09:21,机械制造/机电/重工,股份制企业,500-999人,,1,1e79644a0b9a,https://www.ncss.cn/student/jobs/PS3hncEcYdKENT5Bz786TY/detail.html
398,398-销售内勤-中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部.md,较相关,1,销售内勤,中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部,8k-15k,专科及以上,招聘 1人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类 不限专业,全国,08-04 09:19,投资/基金/证券/期货,国有企业,5000以上,,1,69647e3986f0,https://www.ncss.cn/student/jobs/NfPuDoG2vtzJmE77SvQmBu/detail.html
399,399-产品运营专员-云瑞天合（天津）咨询服务有限公司.md,较相关,1,产品运营专员,云瑞天合（天津）咨询服务有限公司,6k-7k,专科及以上,招聘 5人,市场营销 房地产经营与管理 工商管理 信息资源管理 电子商务 环境工程 计算机网络 金融 公共服务,天津市和平区,06-09 10:26,信托/担保/拍卖/典当,股份制企业,50-99人,,1,9959442db3fa,https://www.ncss.cn/student/jobs/AhnZzunUXYZXFv7nR6YgUQ/detail.html
400,400-线上运营助理-辽宁新途客运服务有限公司.md,较相关,1,线上运营助理,辽宁新途客运服务有限公司,4k-6k,专科及以上,招聘 5人,专业不限,辽宁省本溪市平山区,07-29 10:06,交通/运输,机关/事业单位/非营利机构,100-499人,,1,24fe7d7f9d7d,https://www.ncss.cn/student/jobs/A8jvMYfB5mGki8KebkK8Mb/detail.html
401,401-运营助理-河北顺旭塑料包装有限公司.md,较相关,1,运营助理,河北顺旭塑料包装有限公司,3k-4k,不限,招聘 10人,计算机,全国,06-23 09:46,互联网/电子商务,民营企业,1-49人,,1,739042cb55e2,https://www.ncss.cn/student/jobs/Rs3ms16ufvhBZvz1vR8WRJ/detail.html
402,402-大客户销售经理面议-四川省大川制衣有限责任公司.md,较相关,1,大客户销售经理 面议,四川省大川制衣有限责任公司,5k-15k,专科及以上,招聘 4人,专业不限,四川省成都市,08-04 12:09,耐用消费品（服饰/纺织/皮革/家具）,民营企业,500-999人,,1,5ded1afab8fc,https://www.ncss.cn/student/jobs/U1vZPFdXbjxPiYthRUPgY8/detail.html
403,403-数据分析-兆扑信息技术武汉有限公司.md,较相关,1,数据分析,兆扑信息技术武汉有限公司,2k-4k,本科及以上,招聘 2人,数据处理及大数据 数据科学与大数据技术 信息管理与信息系统 大数据管理与应用,湖北省武汉市,07-09 16:44,计算机软件,民营企业,1-49人,,1,1efe09aa6d99,https://www.ncss.cn/student/jobs/6t5J389MicYRpyw35xHUuB/detail.html
404,404-招聘电话营销员-广西小牛网络科技有限公司.md,较相关,1,招聘电话营销员,广西小牛网络科技有限公司,3k-5k,不限,招聘 5人,不限,广西南宁市,07-29 11:49,计算机软件,民营企业,1-49人,,1,21b0d2c4e2ea,https://www.ncss.cn/student/jobs/KhXse1MGKftqGQf3sFJjLb/detail.html
405,405-网络营销-菏泽盛辰教育信息咨询有限公司.md,较相关,1,网络营销,菏泽盛辰教育信息咨询有限公司,5k-10k,专科及以上,招聘 10人,专业不限,山东省菏泽市,07-16 11:11,教育/培训/院校,民营企业,1-49人,,1,773e8f06b7a0,https://www.ncss.cn/student/jobs/RLsCjsXJc8wxxoqbHmrjBB/detail.html
406,406-电商运营经理-河南省春也颐和生物科技有限公司.md,较相关,1,电商运营经理,河南省春也颐和生物科技有限公司,3k-30k,专科及以上,招聘 15人,专业不限,河南省平顶山市,06-15 10:53,制药/生物工程,民营企业,1-49人,,1,0b3dde1a512f,https://www.ncss.cn/student/jobs/8JWBEMpJizhjEWvZz1V42u/detail.html
407,407-市场推广专员-南昌豪末信息技术有限公司.md,较相关,1,市场推广专员,南昌豪末信息技术有限公司,5k-8k,专科及以上,招聘 15人,市场营销优先,江西省南昌市,07-23 11:18,市场推广/运营,民营企业,500-999人,,1,31ba906b85af,https://www.ncss.cn/student/jobs/2PzvF9HsyShYkgnsmqwcan/detail.html
408,408-医药推广专员-常州制药厂有限公司.md,较相关,1,医药推广专员,常州制药厂有限公司,4k-15k,专科及以上,招聘 2人,医药及相关专业,北京市丰台区,07-09 14:10,制药/生物工程,国有企业,1000-4999人,,1,a4a53c7e9067,https://www.ncss.cn/student/jobs/5oc8Jrb9dCWAxXmjjb7FUx/detail.html
409,409-实习生·网络运营助理-上海恒途文化旅游（集团）有限公司.md,较相关,1,实习生·网络运营助理,上海恒途文化旅游（集团）有限公司,2.7k-3.2k,本科及以上,招聘 2人,英语,上海市嘉定区,07-01 10:59,旅游/度假,民营企业,50-99人,,1,a768de97c701,https://www.ncss.cn/student/jobs/Bx9AtK2Ww5QTQP5ZgzaXyf/detail.html
410,410-市场推广-河南浪之潮农业科技有限公司.md,较相关,1,市场推广,河南浪之潮农业科技有限公司,5.5k-6k,专科及以上,招聘 20人,专业不限,河南省郑州市,06-05 15:36,农/林/牧/渔,民营企业,50-99人,,1,c5a0fb72847b,https://www.ncss.cn/student/jobs/26afCVsAMgqWprbyaxKfTQ/detail.html
411,411-天猫电商运营经理-南昌雅博贸易有限公司.md,较相关,1,天猫电商运营经理,南昌雅博贸易有限公司,2.5k-15k,专科及以上,招聘 5人,专业不限,江西省南昌市,07-21 15:06,互联网/电子商务,民营企业,1-49人,,1,bfdc48b8dcda,https://www.ncss.cn/student/jobs/JmaEEySJXQgddMfpcKT9Pj/detail.html
412,412-市场推广方向-河南省集金供应链有限公司.md,较相关,1,市场推广方向,河南省集金供应链有限公司,6k-20k,本科及以上,招聘 1人,商务英语专业,河南省郑州市金水区,07-06 11:16,贸易/进出口,股份制企业,1-49人,,1,3803604f0e24,https://www.ncss.cn/student/jobs/KtYpRwrHvsSkCJACnXPE5C/detail.html
413,413-运营专员-深圳市迈城电子科技有限公司.md,较相关,1,运营专员,深圳市迈城电子科技有限公司,2k-3k,博士及以上,招聘 人数不限,电商运营,北京市朝阳区,07-09 16:41,计算机硬件,民营企业,1-49人,,1,9683feb91697,https://www.ncss.cn/student/jobs/KEc4jhwgJ3TQ4AejNkaULx/detail.html
