序号,文件,相关度,相关度分值,职位,招聘主体,薪资,学历,招聘人数,专业,地区,更新时间,所属行业,公司性质,公司规模,技术关键词,同模板条数,JD指纹,详情页
140,140-市场营销-西安数驱智信息科技有限公司.md,直接相关,7,市场营销,西安数驱智信息科技有限公司,3k-6k,本科及以上,招聘 人数不限,专业不限,陕西省咸阳市秦都区,07-09 09:35,计算机软件,民营企业,1-49人,,1,d0e19fa5f579,https://www.ncss.cn/student/jobs/RGXRgBTMc6tthokGVAKZZq/detail.html
141,141-用户运营-武汉市洪山区普育吧培训学校.md,直接相关,7,用户运营,武汉市洪山区普育吧培训学校,4.5k-8k,不限,招聘 5人,专业不限,湖北省武汉市,07-30 13:56,教育/培训/院校,民营企业,1-49人,,1,0146f0a9711d,https://www.ncss.cn/student/jobs/5aNaiQqQY3W1GwBQiMPcUx/detail.html
142,142-文案编辑文案策划-四川羽翼互动广告有限公司.md,直接相关,7,文案编辑/文案策划,四川羽翼互动广告有限公司,5k-9k,本科及以上,招聘 5人,新闻学 传播学 市场营销 文学 法学 计算机科学与技术 网络营销 工商管理 广播电视,四川省成都市,07-27 14:36,互联网/电子商务,民营企业,100-499人,,1,152711567944,https://www.ncss.cn/student/jobs/CjrYuThu5Njgfm96PRcp6E/detail.html
143,143-电商主播运营助理-探因医学科技（浙江）有限公司.md,直接相关,7,电商主播/运营助理,探因医学科技（浙江）有限公司,3k-8k,专科及以上,招聘 3人,专业不限,上海市闵行区,08-03 10:20,制药/生物工程,民营企业,100-499人,,1,cc80adc3bebd,https://www.ncss.cn/student/jobs/VkX16ZwQYpd7S4mChrB2LX/detail.html
144,144-新媒体运营助理-株洲新环境房地产经纪有限公司.md,直接相关,7,新媒体运营助理,株洲新环境房地产经纪有限公司,4k-6k,专科及以上,招聘 2人,新媒体,湖南省株洲市,08-02 10:36,中介服务,民营企业,1000-4999人,,1,4fc103909380,https://www.ncss.cn/student/jobs/LW9ivkc1QW8Y3G2fyQkMYQ/detail.html
145,145-电商运营-重庆荣昌江哥食品科技有限公司.md,直接相关,7,电商运营,重庆荣昌江哥食品科技有限公司,3k-10k,专科及以上,招聘 1人,专业不限,重庆市荣昌区,06-05 16:53,批发/零售,其他,1-49人,,1,db7cb6abdb98,https://www.ncss.cn/student/jobs/N7B3hRSKxmVWqVDnuoHf3U/detail.html
146,146-家装新媒体运营短视频销售（抖音小红书大众点评）-天津市创之鸿装饰工程有限公司.md,直接相关,7,家装新媒体运营/短视频销售（抖音/小红书/大众点评）,天津市创之鸿装饰工程有限公司,3k-12k,专科及以上,招聘 5人,专业不限,天津市南开区,06-29 17:31,家居/室内设计/装饰装潢,民营企业,50-99人,,1,b22538079e7a,https://www.ncss.cn/student/jobs/XgdcbxBiw6Qp9ciZUVT8ZH/detail.html
147,147-社交媒体运营专员-平安点创国际融资租赁有限公司.md,直接相关,7,社交媒体运营专员,平安点创国际融资租赁有限公司,10k-18k,本科及以上,招聘 2人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类,全国,07-24 10:14,租赁服务,民营企业,100-499人,,1,0c18e66c88dc,https://www.ncss.cn/student/jobs/6Ds1cfM5v1NTUmgSojbSKz/detail.html
148,148-电商运营管培生-上海凯淳实业股份有限公司.md,直接相关,7,电商运营管培生,上海凯淳实业股份有限公司,7k-8k,本科及以上,招聘 20人,专业不限,上海市徐汇区,07-09 10:20,专业服务（财会/法律/翻译/人力资源等）,合资企业,1-49人,,1,d3b6bd91717a,https://www.ncss.cn/student/jobs/9eUPuSzwFWaeBrUEGrJ4dW/detail.html
149,149-新媒体产品运营专员-青岛兰恩科技有限公司.md,直接相关,7,新媒体产品运营专员,青岛兰恩科技有限公司,6k-8k,专科及以上,招聘 6人,专业不限,重庆市渝中区,08-04 10:53,计算机服务（系统/数据/维护/安全）,民营企业,100-499人,,1,bb74c72d6455,https://www.ncss.cn/student/jobs/9qUrnXkvD8L7vi4KGA9wcX/detail.html
150,150-电商运营（服装类目）-广州魅俪网络科技有限公司.md,直接相关,7,电商运营（服装类目）,广州魅俪网络科技有限公司,7k-8k,专科及以上,招聘 6人,专业不限,四川省成都市金牛区,08-02 22:31,互联网/电子商务,民营企业,50-99人,,1,62936ba182c4,https://www.ncss.cn/student/jobs/W2DEqnsZnQVH8vmQ46ghTV/detail.html
151,151-短视频运营-南京千材百料食品商贸有限公司.md,直接相关,7,短视频运营,南京千材百料食品商贸有限公司,6k-8k,专科及以上,招聘 1人,与传媒相关即可,江苏省南京市江宁区,06-15 14:19,批发/零售,民营企业,1-49人,,1,9043d9a0ba9c,https://www.ncss.cn/student/jobs/3garfrBX7ZL2KZbte77ZZC/detail.html
152,152-市场营销教务专员新媒体运营-苏州市姑苏区塑品教育培训中心.md,直接相关,6,市场营销/教务专员/新媒体运营,苏州市姑苏区塑品教育培训中心,4k-11k,专科及以上,招聘 3人,专业不限,江苏省苏州市,08-04 08:22,教育/培训/院校,机关/事业单位/非营利机构,1-49人,,1,7e9545181bdb,https://www.ncss.cn/student/jobs/AWYG9TLcK36K1m3HtGtmC1/detail.html
